formula, alpha, beta, fmi
p -> (~((~q -> r) & (((~s -> s) v t) v t)) & (t -> t)), 9, 5, 0.5555556
~(((p & ((q v r) v (((p v s) -> s) & r))) v (s & t)) & r), 5, 9, 0.5
(p -> ((q & (((~(r & s) -> r) -> r) -> r)) & t)) -> (q -> q), 4, 7, 0.5
(p -> ~q) & (((r & p) -> ~~s) -> ((t -> (p -> t)) & p)), 7, 8, 0.5555556
((~p -> p) v q) -> (~(r & (((s -> q) -> p) & ~t)) -> t), 12, 4, 0.5555556
((p v q) & p) -> ~(((r -> (p & s)) -> (t -> (t & t))) -> t), 10, 6, 0.5
((p & q) -> ~((~p & r) -> ((q -> s) & t))) -> ~(r v s), 8, 5, 0.5555556
(((p -> p) v ((q -> (((r & ~r) & p) v s)) v q)) v t) & q, 4, 7, 0.5
p v (~q v (p -> (r -> (s -> ~~((t -> (s -> r)) v q))))), 1, 9, 0.5555556
((p v q) -> (q -> r)) v (((q & ((~s & p) & t)) & t) v s), 10, 5, 0.5
((p & ((q -> r) v p)) v (~~p v (s & t))) v ~(r -> q), 8, 6, 0.5555556
p -> (p -> ~~((((q & r) & q) & (~s & (r & t))) & q)), 7, 3, 0.5555556
((~p -> (~q & (~r v (((p & s) & t) -> t)))) & r) & r, 4, 6, 0.5555556
p v (~(((q & ~r) v p) & (s & ~t)) & ((t & r) -> p)), 3, 13, 0.5555556
~p -> (((((q -> p) -> ((r -> p) v q)) & (s & t)) v q) v s), 4, 7, 0.5
~((p v (q v r)) v (~((s & q) v ~t) v ((r -> q) v q))), 8, 2, 0.5555556
(((~~p -> (q & r)) & ~((s & s) -> s)) -> (r -> r)) -> t, 7, 3, 0.5555556
p -> (q & (p & ((r & q) & (s -> (t & ~(~~t -> q)))))), 7, 3, 0.5555556
((~(p & q) -> (~~r v (r & (s & s)))) & q) -> (t -> r), 3, 9, 0.5555556
~((p -> q) -> (~(r & (q -> s)) v (r & t))) & (~r -> q), 5, 16, 0.5555556
~((((p -> ~q) v p) -> (~(p & (r -> s)) -> (t -> p))) -> t), 7, 5, 0.5555556
((p & (q -> r)) -> ~((p & s) v (q v ((p & q) v t)))) v p, 8, 7, 0.5
(((~p -> q) -> ~r) & p) v ((s v q) & ~((s v s) & t)), 9, 6, 0.5555556
(p -> ~(~q -> ~r)) -> ((s & (t & ~~(r -> t))) -> t), 4, 6, 0.625
(((p -> ~(((~~q -> p) & r) & s)) v s) & (t v s)) v t, 3, 11, 0.5555556
(((((p & ~q) & r) & (s -> (r -> p))) v t) & ~~r) v r, 5, 5, 0.5555556
~(p -> ~(q -> ((r v s) v p))) & (~((q -> p) -> t) v s), 4, 12, 0.5555556
((p v (q v q)) v (~(r v s) & s)) & (q v ~~(t -> q)), 4, 12, 0.5555556
p & (((q -> ~(~q & r)) & (~s & ~(~t & t))) v t), 4, 7, 0.625
~((p v (q -> ((r & q) & s))) -> t) v ((r -> p) -> (q & s)), 16, 5, 0.5
(((p & ~q) v (((r & q) v (p & (p v s))) v p)) & s) v t, 9, 6, 0.5
p & ~((q & (r v ~s)) -> (~(r v r) -> ((s v t) & q))), 7, 4, 0.5555556
(p -> (((((q v (r v (r & p))) -> ~q) -> r) -> s) v t)) v r, 4, 7, 0.5
p -> (((p v (q v ((r -> ~s) -> r))) & (q v (p & s))) -> t), 8, 6, 0.5
p -> (q v ((r -> ((s -> s) & ((r -> t) & (~s & p)))) v q)), 4, 8, 0.5
p & (q -> (((r v q) & (~(p -> (q -> s)) & t)) & (q & p))), 8, 3, 0.5
((p -> (((q & p) v (r -> s)) & r)) & ~q) -> ((q -> t) -> p), 8, 6, 0.5
p v (((q & r) -> ~(r -> q)) v (~(s & p) -> (~t v q))), 4, 7, 0.5555556
p & (q -> (r & ((q v r) & ((~~~s v (t v r)) -> t)))), 6, 5, 0.5555556
((~p -> q) & ((r & s) v (~s & ~t))) & (q & (q -> s)), 7, 8, 0.5555556
(((p v ~q) -> (r -> (s v (p -> (q v (p -> q)))))) & t) v q, 3, 8, 0.5
p & (q -> (~(r & ~~(~((~s v t) & r) & p)) & s)), 4, 5, 0.625
p v (((~(((~(~q & r) v s) & t) -> t) v t) v r) & s), 4, 6, 0.5555556
~(((p v (~(p v (~(q & q) & r)) -> s)) v t) & q) -> t, 3, 7, 0.5555556
~(((p & ((q v r) & (s & ~p))) -> (q & s)) & (~t -> t)), 10, 5, 0.5555556
~p v ((((q v ~r) v (s -> q)) & p) -> (p & ~(r & t))), 8, 5, 0.5555556
~(p -> (q & (~(~(q -> ~r) v ~s) & ((s -> t) v r)))), 7, 4, 0.625
(p v q) & (((r v s) -> (p & s)) & ((s v ~t) & (q -> t))), 7, 16, 0.5
(p & ((p -> (((q -> r) & p) & s)) & q)) & (~(r & r) v t), 6, 9, 0.5
~((~~((p v (((q -> r) v s) & (q & r))) & q) & t) & r), 4, 6, 0.5555556
(p -> (((~(q -> (~r v s)) -> r) v p) & p)) v (q v ~t), 2, 8, 0.5555556
~(p -> (q -> (r -> (((~(s -> t) & t) -> t) & t)))) -> ~r, 2, 8, 0.5555556
~p v ~(~(q -> (r -> ((s -> p) -> (~p & ~t)))) v p), 5, 5, 0.625
(~((p v ~(((q v (~q v p)) & r) v s)) & t) -> q) & t, 6, 4, 0.5555556
(p v (q & (q v (r & s)))) v ((~((s -> r) -> s) & t) & t), 12, 5, 0.5
(p v (q & p)) & (r v (((q v s) -> ~((t v r) -> p)) & p)), 7, 8, 0.5
((p -> ((q -> q) -> r)) v ~p) & (((p & (s -> t)) & t) -> p), 4, 16, 0.5
((p v q) v (r -> ((((q & (~p & s)) & t) -> r) -> p))) & r, 6, 5, 0.5
((((p -> q) & ~((~p & ~r) v q)) & (s v t)) v q) v r, 4, 10, 0.5555556
(p v q) -> (r -> ((((p -> q) -> (s v (t -> ~s))) -> q) v r)), 8, 6, 0.5
p -> (q v ((r -> p) & (((~(s v q) & t) v ~~r) v s))), 4, 8, 0.5555556
p -> (p v ((q & (((r & ~s) v s) -> (p v p))) v (t v q))), 3, 8, 0.5
~(p v ((q v (p & q)) & ~(r v (((s & t) -> p) & ~r)))), 5, 6, 0.5555556
((((p -> p) & (q v r)) v ((s -> r) v ~r)) -> q) -> (t -> p), 3, 9, 0.5
(p -> q) v (((q v ((r v (s -> (p & t))) -> p)) -> p) -> ~p), 4, 7, 0.5
p v ~(q & (r & (s v (((p & ~(~s & q)) v q) & t)))), 4, 6, 0.5555556
p -> ((q & ((r v r) -> ~(r -> (((s -> r) & s) & q)))) & t), 8, 5, 0.5
(p v ((p v q) & p)) v (~q -> (r -> (((s & p) v s) & t))), 6, 7, 0.5
(p -> ((((q -> ((q -> r) -> p)) -> (p v s)) v ~s) & t)) -> r, 6, 5, 0.5
~((((p v ((q & r) & ~((s & ~r) & r))) v q) v p) v t), 7, 3, 0.5555556
(p -> (q & ((((r v s) & s) & q) & (~(r v s) -> t)))) -> r, 7, 6, 0.5
(p v (p & (q v (r -> (((q v (s v p)) & r) & p))))) & ~t, 5, 6, 0.5
(((~((~p -> p) v q) -> ~r) -> s) -> s) -> (t -> ~~q), 5, 4, 0.625
p -> ((q & r) v (q & ((s v (r & ((q -> t) v ~r))) v s))), 6, 7, 0.5
(p -> (p -> (q & ((p -> r) -> r)))) v (~((s & q) & q) v t), 3, 8, 0.5
(((p v ((q v ((r v s) & s)) -> t)) -> s) -> (q -> q)) & ~t, 5, 6, 0.5
p -> (p v ((((q v p) v (r -> s)) & r) v (t v (p -> ~t)))), 2, 9, 0.5
(p -> ~(((q & r) v (s & s)) -> (t & q))) & (q -> (q -> q)), 6, 15, 0.5
((((((p -> (q & r)) -> s) v (p & t)) v q) & ~s) v t) & s, 6, 6, 0.5
p & (q v ((p & q) -> ((r & s) -> (t & ~((s v s) v t))))), 5, 6, 0.5
(p -> (q v (r & ~((~s -> q) -> p)))) v (~(r & s) v t), 3, 7, 0.5555556
(((~p v ~~p) v q) -> r) v ((s & r) v ((t v p) & q)), 12, 5, 0.5555556
((~(~p -> (~(~(q -> r) -> s) v ~q)) v r) & p) v t, 4, 5, 0.625
p & ~(~((p -> (q & (r v r))) v ~s) -> ((r -> q) -> t)), 7, 4, 0.5555556
(p & q) & (~~(q v (p v ~(r v r))) v ((s v t) -> s)), 6, 5, 0.5555556
(((p -> (((q -> ~r) v p) v p)) & s) & ~(p -> ~r)) & t, 5, 5, 0.5555556
~((p -> ((((q v r) v (p -> s)) & q) -> t)) v ((p v q) -> p)), 6, 8, 0.5
p v ((((~q & ~(r v (s & (p v p)))) v t) v ~q) & t), 5, 5, 0.5555556
(~p v ((~q -> p) v (~((r v s) & (p -> r)) v s))) v t, 4, 7, 0.5555556
((((((p -> p) -> q) -> p) & ~q) v r) & p) & (s v (t -> t)), 5, 12, 0.5
~((p v q) & (((r & ((p v (s & r)) & (t v t))) -> t) v p)), 12, 5, 0.5
~(((p -> (q -> (r v s))) & p) -> (p v t)) v ((p v s) & s), 8, 6, 0.5
~~p v (q & (((r & ~s) v r) & ((r v q) -> (r v t)))), 5, 7, 0.5555556
(((p -> ~((q & p) -> (r v (s v q)))) & t) -> t) & (r v r), 3, 14, 0.5
(p -> q) -> (p & (((r & r) & (s v (~r v t))) & (s v p))), 10, 7, 0.5
p & (~(~q & ((r v s) -> p)) -> (((p & s) v ~p) & t)), 10, 4, 0.5555556
~p v ((q v ((r v ((q & (s v t)) -> q)) v (t & s))) v q), 4, 8, 0.5
p -> (q & ((p v ((r v q) -> s)) -> ((r & p) v (~t & q)))), 13, 5, 0.5
(p -> (q v (r & ~s))) & (((q & s) -> q) v (~p & ~t)), 4, 12, 0.5555556
((~~p & q) & r) & ((s -> (t & ((~r & p) -> s))) & p), 6, 4, 0.5555556
((p & q) & p) v (~(r -> (((s -> q) & (t & t)) -> r)) v t), 15, 4, 0.5
((~p -> q) -> (q v p)) -> (p & (r -> ~((~s v s) & t))), 9, 5, 0.5555556
p v ~~(((q -> ((r -> s) & p)) -> (~(q v r) -> t)) -> q), 5, 5, 0.5555556
(((p -> p) & ~(q -> r)) -> q) & (p -> ((s -> ~~t) & t)), 4, 12, 0.5555556
(((p -> p) -> ~q) & ((~r -> ((s -> ~r) v r)) & t)) -> s, 8, 5, 0.5555556
~~((p & (q -> r)) & r) v (s -> ((~t v (p -> t)) & r)), 6, 6, 0.5555556
p v ~(q v ~((r v (s & s)) & (r v (t & (s & ~p))))), 6, 5, 0.5555556
p & (q v (((r -> (s -> t)) -> (q -> s)) v ((r & ~r) & p))), 10, 5, 0.5
(p v q) -> ((((~r & s) & (~~q v p)) & (s -> p)) & t), 10, 5, 0.5555556
p & (((q & ((r & q) & ((s & r) & t))) -> p) v (~q & t)), 3, 8, 0.5
((p -> ~((q -> ((r v p) -> s)) -> s)) & r) & ((r -> r) v t), 5, 12, 0.5
p & (~(~(q -> r) & (p v (((~s & p) -> s) -> t))) v s), 4, 6, 0.5555556
(p v (p -> ((((q v r) & (s v (t -> p))) -> r) v r))) v ~t, 6, 7, 0.5
(p v ((p v q) -> (q -> (r & (q & (~q & ~~s)))))) v t, 8, 5, 0.5555556
p -> ((~(p v (q & (p -> (~q & ~r)))) -> s) -> (t -> p)), 4, 6, 0.5555556
p v (q v (~(p & (((r v s) -> (t -> r)) -> (r -> s))) v p)), 4, 7, 0.5
~((p & (q -> r)) & (q & q)) -> (r v (((s -> t) -> p) & s)), 12, 5, 0.5
(~((p -> (q v (r -> (q v s)))) v r) v q) -> ((s v q) v t), 2, 9, 0.5
~~~(p & ((~(((q & ~p) & r) -> s) & (s v t)) & q)), 2, 7, 0.625
~(p & (q v (((r -> (p v s)) & s) & (r -> r)))) v (r -> t), 7, 6, 0.5
p v (~((p -> (((p -> q) v q) -> (r -> q))) v (s v s)) -> t), 3, 8, 0.5
(p v q) -> (((((r & r) & q) v s) -> (q & r)) & ~(t v s)), 12, 5, 0.5
((((p -> q) v r) v s) -> q) & (t & (((~p & q) & r) v p)), 8, 4, 0.5
(p -> (p -> (q & ~((r v ~s) & (s & s))))) & (t -> ~p), 4, 10, 0.5555556
~p -> (((~(q & r) -> ~s) & ((t v q) v (s -> s))) & r), 4, 9, 0.5555556
p & ((p & ((q & (r v s)) & ~(t v s))) -> (t v (q v t))), 3, 8, 0.5
~(p -> ((~~p -> ((~(q v ~r) & s) v (t & r))) & t)), 4, 7, 0.625
p & ~((q -> ~r) -> (s -> ((~(p v (r -> t)) v q) -> t))), 7, 4, 0.5555556
~~p -> (~(~(~p -> ((q & r) v s)) v (t -> r)) v s), 4, 5, 0.625
p v (((q & (r v ((q & s) & (r -> q)))) & ~~~r) v t), 5, 5, 0.5555556
((p -> p) v (q & (r & ((r & (q v r)) -> s)))) -> ~(r & t), 5, 6, 0.5
~(((~~p & q) -> ~(q -> p)) & ~(p -> (r -> s))) & t, 4, 5, 0.625
p v (q v ((p -> q) -> ((r & s) & ((r -> t) v (s -> ~p))))), 6, 7, 0.5
((p -> q) & ((((q -> ~r) v (s & (q & r))) & q) -> t)) & r, 5, 10, 0.5
((~p & (p -> q)) v ((((r v q) v (s -> p)) v p) & t)) & r, 5, 7, 0.5
(p & ((q & r) -> (q v ~q))) & ((s & q) v (s -> (t & q))), 6, 12, 0.5
((p & (p -> ~q)) v q) v (q & (~(r v ~s) -> (s v t))), 4, 7, 0.5555556
p & (((((((~q -> (r & p)) v s) & r) -> t) v s) v r) & t), 5, 6, 0.5
p v ((~q -> r) -> (s -> (q v (q & (p -> (p -> (t -> q))))))), 4, 8, 0.5
((p & (q & r)) & (s & (~(r v q) v q))) & ((p -> p) & t), 8, 4, 0.5
((p v ((((p -> q) & p) v (r v (p -> s))) v ~q)) v q) & t, 3, 8, 0.5
(p & (~((q -> r) -> ((((s & r) v r) -> p) -> p)) & r)) -> t, 6, 7, 0.5
(p & q) & (r -> ~((~(s -> r) -> ((~r & p) -> t)) & s)), 7, 3, 0.5555556
p v (~(q v (~~r & s)) -> ((((r -> p) v t) & p) & q)), 6, 6, 0.5555556
(((~(((p v (q & r)) -> q) & s) & (q & q)) v t) -> t) -> t, 6, 5, 0.5
(p -> q) v (((r v p) v ~~p) -> ~~((s -> r) v ~t)), 3, 6, 0.625
((((p & ~(q v (q & r))) -> s) -> p) -> t) -> ((t -> r) & p), 10, 5, 0.5
(p -> (q -> (((p -> (q -> r)) -> (s -> t)) & ~p))) v (t -> s), 4, 7, 0.5
((p & ~q) -> (((q v r) v r) & ~s)) v (q & ~(s -> t)), 6, 6, 0.5555556
~p & (q v (r v ((~r v ~(p & q)) & ((p -> s) -> t)))), 4, 8, 0.5555556
(p -> ((~q & r) & r)) & ((((s -> t) & r) v (t v t)) & r), 6, 8, 0.5
(((p & q) -> ((r v (q -> ~(s v s))) v s)) & s) -> (t v p), 6, 5, 0.5
(p & (~~(q & (p -> ~r)) -> s)) v (p & (p -> (p & t))), 9, 5, 0.5555556
(((~(p -> q) & ~r) & ~(s v (t v t))) -> r) & (p v t), 2, 14, 0.5555556
(p -> q) -> ((~((~(r -> s) -> (t v ~p)) v t) & q) & q), 14, 2, 0.5555556
p v ((((q & ((r v s) v (t & ~q))) v (p & p)) -> q) & r), 5, 8, 0.5
(p -> (q -> r)) & (((p v ~(s v t)) & q) & (p v (q & s))), 6, 12, 0.5
~p v (~q v ((((r -> ~p) & ~p) -> ~p) & (s v t))), 3, 8, 0.625
(~p v ~~((q v r) v q)) & (((s -> t) & r) v (s v q)), 3, 16, 0.5555556
((~p & (q & r)) & (q -> r)) & (((s -> q) v (p & t)) -> p), 7, 6, 0.5
(p & ((~q v p) v ((r v (~p & ~s)) -> p))) v (t & s), 6, 6, 0.5555556
(~(~p & q) -> r) -> ~~((~r -> q) & (s -> ~~t)), 4, 6, 0.71428573
((p v q) v r) & (r v ~((s -> ~t) & (p & (s v ~r)))), 5, 12, 0.5555556
(p v q) & (~~(~((r -> (r v s)) & (p -> t)) -> s) -> s), 8, 6, 0.5555556
((p & q) -> ((r -> (s v ((r & t) & (p & r)))) -> r)) & ~r, 4, 7, 0.5
((p -> q) -> (~r v (p -> p))) & (s v ((s -> (q v t)) & p)), 4, 16, 0.5
~((p -> p) -> (q -> (((q & r) & (s v p)) & (p & (q v t))))), 6, 10, 0.5
~p & (~q v (q & (r -> (~~((s & ~t) v q) & q)))), 5, 4, 0.625
((~p -> (((q -> ~~r) & p) v ((p v s) -> q))) & q) -> t, 5, 6, 0.5555556
p v (((q -> ~((p v (r v s)) v (r -> (t v p)))) & q) -> r), 2, 9, 0.5
p v (((q & (q v r)) -> q) -> ((~s & t) v (q -> (p -> s)))), 6, 7, 0.5
(p v (p -> q)) & ((((~(p -> r) v p) & s) & t) & (q v q)), 6, 12, 0.5
(p -> q) & (q & (((p -> p) v ((~p & (r -> s)) v p)) & t)), 5, 10, 0.5
p -> ((q -> ~((((q -> r) v q) & ((r -> s) & t)) & r)) v q), 6, 7, 0.5
(p -> q) & ((q v ((r & s) -> ~t)) v ((s & (r & p)) v t)), 4, 12, 0.5
~(((p -> ~(q v ((r -> s) -> q))) v r) & ~(r & t)) & t, 9, 4, 0.5555556
~((p v (((q v r) -> r) & (~p v s))) -> q) v (t -> ~p), 4, 7, 0.5555556
(p -> (q & r)) -> (~p v (~(q & (s -> s)) -> (t & ~t))), 8, 6, 0.5555556
p & (q -> ~(((r & s) -> ((~(r -> t) & r) & ~p)) -> t)), 6, 4, 0.5555556
(p v q) v (~(q & ((((r & (s & p)) v t) v p) -> s)) -> q), 4, 7, 0.5
~((((p v q) -> ~~r) & p) v s) & ((r v (p & t)) & p), 6, 6, 0.5555556
(((~p -> ((q & r) & (s -> t))) -> ((p -> t) -> r)) v r) v s, 6, 7, 0.5
~p & (~((((p -> q) & (~p -> (r & p))) & s) v t) -> r), 5, 6, 0.5555556
p & (q & (((((r -> (~p -> s)) -> s) & t) -> t) v (r -> r))), 4, 7, 0.5
(p & (((~~((q -> ~(r -> s)) v p) v r) & t) & q)) -> p, 4, 6, 0.5555556
(~(p v q) -> r) -> (s -> (~p -> ((q -> ~(t -> q)) -> r))), 6, 6, 0.5555556
((p v ~q) -> (q -> ((q & ((r & (q & s)) & t)) & q))) & p, 13, 3, 0.5
(p v ((q & q) -> (((r & q) & (s & q)) & s))) -> ~(q & t), 4, 7, 0.5
((p -> (~(q -> (~(r -> s) -> r)) v q)) & t) v (~q v r), 5, 5, 0.5555556
((p -> q) & ~((((r & s) -> (t v r)) -> (r -> t)) v q)) & q, 6, 8, 0.5
p -> (q -> (r & (r -> (~s v (((p -> t) & s) -> (r & r)))))), 5, 7, 0.5
~p -> (~((q v p) -> (r -> (s v (~t & s)))) v (s -> t)), 4, 7, 0.5555556
p -> ~(((p & (q & p)) -> (((r v s) -> (r -> s)) & t)) -> r), 4, 7, 0.5
((p v ((p & q) v ~(q & r))) -> (s -> t)) v (s -> (q & p)), 8, 6, 0.5
(p & q) -> ~~(((p v ((r -> s) -> s)) & (p -> t)) -> ~p), 6, 6, 0.5555556
(p & q) v (p v ((r -> s) -> ((p -> s) -> (p & ~(p -> t))))), 24, 5, 0.5
((p v ((((~q & r) v s) & q) & (q & t))) & t) v (t & p), 12, 4, 0.5
(p v p) v (((q v r) v (((s & s) & (q & ~t)) -> p)) & q), 2, 9, 0.5
((((p v ~((q & p) -> r)) & s) & ~t) -> ~p) v (r & t), 4, 7, 0.5555556
~~(((p -> q) & (r & s)) & ((~q & ~t) v ~s)) -> r, 4, 6, 0.625
~((~p -> ~(q -> r)) -> (s v ~((q v p) v (t v ~q)))), 4, 8, 0.625
(p -> ((p v (~q v q)) v (r -> ((p -> s) v (r & t))))) -> q, 8, 3, 0.5
(p -> (~((p -> (p v q)) -> ((p -> p) v r)) -> s)) & (s v t), 4, 12, 0.5
((p & q) -> q) -> ~((((r v r) v ~s) v (t v ~p)) -> r), 6, 6, 0.5555556
(((p v p) v q) v (((r & p) -> s) -> (t v s))) & (s v ~q), 4, 12, 0.5
~(~~p -> ~(((q -> r) & ~(s & ((p & t) -> t))) & s)), 6, 4, 0.625
(p & (p v (q v ((r -> ~~(s v t)) v p)))) v ~(t & s), 2, 8, 0.5555556
p v ((((q v (r & ((p & p) v s))) & q) -> ~(t -> p)) & s), 7, 6, 0.5
p -> ~(((~p -> (q & (r & (~s & r)))) v s) v (t & q)), 4, 9, 0.5555556
p & (~q -> ~((~(r v (r & (s v s))) -> ~~t) -> r)), 4, 5, 0.625
(p & q) -> (q -> ((r & p) -> ((((~s -> p) -> t) -> p) -> r))), 3, 8, 0.5
((((p & (~~(q v r) v r)) v s) v t) & ~(t & p)) v q, 3, 11, 0.5555556
~~~(p & (q v (~~r -> ((s -> (r v q)) & (t v p))))), 8, 3, 0.625
(p v (q v (r -> ((q -> s) & (p v (~t v (r v r))))))) & s, 3, 11, 0.5
p v ~((~q v ((((r & s) -> ~t) & (r & p)) & s)) v r), 5, 5, 0.5555556
(~(~(~(~p v (q v p)) & (r v s)) v t) v ~q) v t, 5, 4, 0.625
((~p & q) & q) -> (((r & s) v (s v (s -> p))) -> (p & t)), 8, 6, 0.5
(((((((p -> q) -> ~r) v r) v s) v s) -> (p -> s)) v q) & t, 6, 5, 0.5
(p & (~(((q -> r) & s) -> ((s -> q) & p)) & (t & p))) -> t, 4, 8, 0.5
(((~(p v (q & (r v s))) v q) & ~~r) -> r) -> (t v q), 5, 5, 0.5555556
~((p -> ((q & ((~r v r) v p)) -> r)) -> s) & ~(t -> q), 6, 4, 0.5555556
p -> ((((~(((q & r) v p) & p) v s) -> s) -> ~t) v ~q), 3, 7, 0.5555556
((((p & ~q) v (((r v p) v p) -> (q v s))) v t) -> p) -> r, 7, 6, 0.5
((((((p -> q) -> ~(r -> s)) v p) & t) & (p -> t)) & s) & s, 8, 6, 0.5
~(((p v q) -> p) & (r & ~(((s -> r) v ~(s -> p)) & t))), 6, 6, 0.5555556
(((p -> q) v ((q v ~(~r -> s)) & ~t)) & (s & p)) v t, 5, 5, 0.5555556
((p -> (~(q -> (r -> s)) & ~~t)) & ((q & s) v q)) -> q, 4, 7, 0.5555556
((~(~p & (p & ~q)) v (q v r)) v r) & ((s v p) -> t), 3, 12, 0.5555556
((~(p v (q & ((r & s) & (q & t)))) -> (s -> r)) & s) v r, 6, 5, 0.5
(p -> ((((q v r) v s) -> t) -> ((s & (q -> q)) -> p))) v ~q, 4, 8, 0.5
(p v q) -> ((((q -> p) v (r & s)) & q) & ((t v ~p) & q)), 10, 7, 0.5
(p v q) -> (r v (~(s -> ((r v (t & q)) -> (s v p))) v p)), 10, 5, 0.5
~((~((~(~p v q) -> r) & (s -> t)) v ~s) v (s -> r)), 5, 6, 0.625
(p -> (p -> ((q & r) & ~((s -> p) -> t)))) v ((r & p) -> q), 4, 7, 0.5
((((p & q) & r) & ~p) & (s -> (~q & q))) -> (~s v t), 2, 8, 0.5555556
(p -> (q -> ~(((r v q) & ((q & s) & (t -> r))) -> p))) & s, 6, 6, 0.5
(p & ((q -> r) & ~((((r & r) -> (r -> s)) & t) -> q))) & p, 6, 8, 0.5
p -> (p v (((q & (~q -> (q -> (r -> s)))) & (s -> r)) & t)), 4, 10, 0.5
(p & (~(p -> ~~q) v q)) & (r -> (((s v r) v t) & r)), 5, 8, 0.5555556
p v (((~p -> ~q) v (r -> (((s v s) v t) -> ~r))) v t), 3, 7, 0.5555556
~((p & q) & ((q -> (r -> q)) v (((r -> q) v (s & t)) & p))), 6, 5, 0.5
~(~(p & (p -> q)) v ((~(r & (s -> t)) -> s) & s)) -> s, 6, 6, 0.5555556
p v ((q v ~q) -> (q v ((r & ((q & (s & s)) & p)) -> t))), 2, 9, 0.5
(~p -> ((q v q) -> (r -> (s & (s & ((p -> p) & t)))))) & p, 9, 5, 0.5
(p & q) v ~(r & (q & (s & (r v ((~~t -> q) -> t))))), 6, 6, 0.5555556
p -> ((p & ((q v r) v (p -> p))) & (q & (s v (~t v r)))), 4, 13, 0.5
(p v ((~q -> (r & s)) -> ((q & ~~r) -> p))) -> (s & t), 12, 3, 0.5555556
(((((p v ~(((q -> r) v s) v s)) -> p) v t) & t) & q) -> p, 6, 5, 0.5
p v ~(q v (q -> (r v ((s v (~(~s -> t) v s)) v r)))), 7, 3, 0.5555556
(p v q) v (((r v (q v (s v ~((r -> t) -> t)))) -> r) & s), 6, 5, 0.5
(~((p -> q) v p) v r) & (r -> ((s v p) & ((p v t) & t))), 6, 10, 0.5
((p v q) v (r & (s -> ((q v (s -> r)) v p)))) -> ~(t & r), 7, 4, 0.5
(~p v q) & ~(((p v ~r) v ((s -> r) v s)) & ~~t), 6, 4, 0.625
p v (~p -> (q & (r & ~(((s v (p -> p)) v t) -> ~q)))), 4, 6, 0.5555556
p v (~((((q v (p -> p)) -> ((r -> s) & t)) -> p) & s) -> q), 4, 9, 0.5
(p -> (q -> (((~~~r & (q & q)) v s) v r))) v (t v r), 3, 7, 0.5555556
~(p v q) -> (~((q -> ((r v ~s) & (t v r))) & t) v s), 5, 6, 0.5555556
p -> ((~~q -> (r v ((p -> (~(s -> t) -> q)) & t))) & s), 3, 7, 0.5555556
((p v (((p & q) -> r) v s)) v (((p v t) v ~r) -> s)) v r, 3, 8, 0.5
(p v ~((q -> r) -> (s -> ~p))) v (s v ((~q v t) v s)), 3, 7, 0.5555556
((((~~((~p v p) v q) v r) & s) -> (t v s)) -> p) v t, 4, 6, 0.5555556
p & ~((q & ((((r -> ~~s) -> (q & s)) v t) -> r)) -> p), 6, 5, 0.5555556
(p -> ((((~p v q) -> r) & (((s v t) -> t) v r)) v q)) -> r, 8, 5, 0.5
(p & (~q -> ~((~r v (s -> ((q v q) & t))) v t))) v q, 6, 4, 0.5555556
p -> ((q v (p -> (r -> (r -> (s -> (~(t -> s) v p)))))) & q), 3, 8, 0.5
((p & (q -> (r -> ~s))) -> (t v (q & t))) -> (r & (t & q)), 12, 7, 0.5
p -> ((q -> (((~~r -> ~s) v t) v p)) v (~q & ~r)), 2, 7, 0.625
~(~(p & (((q v (p v ~q)) & ((q & r) -> s)) -> t)) & r), 10, 4, 0.5555556
((p & (q -> (r v s))) -> ~((r v s) v ~~(t v p))) & p, 13, 3, 0.5555556
(p & ((q & (r & s)) & (p v s))) v (t v ~~(t -> ~s)), 5, 5, 0.5555556
((p -> (p & ((q -> q) -> ((r & q) -> (r -> p))))) v ~s) & t, 4, 7, 0.5
((p & q) -> ~(~~r -> (s -> (q v s)))) v (q & (t v q)), 8, 5, 0.5555556
((p & (((q -> r) & ~s) & (q & (s -> r)))) v (t v t)) & p, 6, 6, 0.5
p -> (~((q -> r) & (s v (p & ((q & (p -> t)) v t)))) v t), 8, 6, 0.5
p & (q & ~(q & ((((r -> (p & p)) v (r v r)) & s) v t))), 7, 4, 0.5
(p -> q) -> ((r & (r v (r & (~s v (p & r))))) -> (s v t)), 6, 7, 0.5
((p v q) v ((~r & (s & s)) v (q v (s v t)))) -> (t -> t), 6, 5, 0.5
(p -> ~((~(q -> (r & s)) & (~(t v q) & r)) & r)) v r, 2, 8, 0.5555556
(p v q) & (q -> (p & ((r & (((q v q) & s) -> ~q)) v t))), 5, 10, 0.5
~((p v q) v (r -> ((~(s & (s & t)) & q) & ~p))) -> q, 3, 7, 0.5555556
~(~(p -> (q & p)) & ((p -> (~q & (r -> s))) -> (p -> t))), 8, 5, 0.5555556
((p -> p) & ((q v r) & q)) -> ~(q & (~(s v t) -> ~r)), 12, 5, 0.5555556
(p & (((q & (p -> r)) -> ((s v ~t) v (r -> p))) & p)) -> t, 6, 5, 0.5
p v ((q v q) & ((r & q) v (s & (t v (t v ~(r & p)))))), 5, 11, 0.5
((p & ((q -> (r v s)) v (p & ((~t v r) v p)))) -> t) & r, 7, 4, 0.5
p -> (((q -> r) v (s & (s -> (~(r & (p v t)) v p)))) v t), 3, 8, 0.5
